Month,area,regional,Availability (Ave)
Jan-25,AREA1,REGIONAL1,98.92875684128225
Jan-25,AREA1,REGIONAL10,98.3638614900315
Jan-25,AREA1,REGIONAL2,98.6885802283654
Jan-25,AREA3,REGIONAL5,99.63358497316636
Jan-25,AREA3,REGIONAL6,99.72347350585336
Jan-25,AREA3,REGIONAL7,98.44623230734666
Feb-25,AREA1,REGIONAL1,98.76322610868206
Feb-25,AREA1,REGIONAL10,98.44609500523926
Feb-25,AREA1,REGIONAL2,98.47094002998502
Feb-25,AREA3,REGIONAL5,99.63501699159363
Feb-25,AREA3,REGIONAL6,99.6350737327189
Feb-25,AREA3,REGIONAL7,98.12879515369082
Mar-25,AREA1,REGIONAL1,99.02008584360854
Mar-25,AREA1,REGIONAL10,98.61711843711842
Mar-25,AREA1,REGIONAL2,98.61019040479759
Mar-25,AREA3,REGIONAL5,99.67496692293938
Mar-25,AREA3,REGIONAL6,99.72848252605763
Mar-25,AREA3,REGIONAL7,98.95230665770006
Apr-25,AREA1,REGIONAL1,98.98398532625664
Apr-25,AREA1,REGIONAL10,98.44806822137139
Apr-25,AREA1,REGIONAL2,98.60870730976633
Apr-25,AREA3,REGIONAL5,99.74261343336906
Apr-25,AREA3,REGIONAL6,99.79031235645384
Apr-25,AREA3,REGIONAL7,99.22663528356871
